"City","City_latitude","City_longitude","State","Airport","Airport _latitude","Airport _longitude","iata_code","Distance"
"Port Blair","11.6683","92.7378","Andaman and Nicobar Islands","Vir Savarkar International Airport","11.6412","92.7297","IXZ","3.139839322"
"Diglipur","13.2667","93","Andaman and Nicobar Islands","Vir Savarkar International Airport","11.6412","92.7297","IXZ","183.1144155"
"Rongat","12.4667","92.9333","Andaman and Nicobar Islands","Vir Savarkar International Airport","11.6412","92.7297","IXZ","94.42371876"
"Nellore","14.45","79.99","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","131.2188913"
"Kurnool","15.83","78.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","166.0125854"
"Cuddapah","14.47","78.82","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","6.75470045"
"Tirupati","13.65","79.42","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.3948271"
"Anantapur","14.68","77.599","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","127.7132051"
"Ongole","15.506","80.049","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","176.2179751"
"Kodumur","15.6833","77.7833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","168.2408886"
"Nandyal","15.48","78.48","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","112.34977"
"Pulimaddi","15.5386","78.4613","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","119.1662648"
"Madanapalle","13.55","78.5","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.7288099"
"Proddatur","14.75","78.55","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","35.87043125"
"Chittoor","13.216","79.098","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","148.1075941"
"Hindupur","13.83","77.49","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","157.6180853"
"Guntakal","15.17","77.38","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","166.7240665"
"Dharmavaram","14.43","77.72","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","113.6987796"
"Tadpatri","14.92","78.02","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","92.9134262"
"Suramala","13.76","79.7","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","130.1954314"
"Kalluru","15.8344","78.0292","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","167.4968"
"Emmiganur","15.7333","77.4833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","194.0658895"
"Yalamakuru","15.5103","77.5249","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","174.1649433"
"Rayachoti","14.0583","78.7517","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","50.27808701"
"Kavali","14.913","79.9929","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","138.6633826"
"Kadiri","14.12","78.17","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","78.09251798"
"Chinnachauku","14.4732","78.8451","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","8.795591025"
"Gudur","14.1473","79.8477","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","122.6288344"
"Markapur","15.73","79.26","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","145.3901578"
"Badvel","14.75","79.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","40.02215983"
"Pulivendla","14.4194","78.225","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","59.83378464"
"Pamuru","15.097","79.409","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","94.54287837"
"Nagari","13.3214","79.5856","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","158.6314589"
"Razampeta","14.1954","79.159","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","54.35742332"
"Dhone","15.396","77.872","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","138.0949564"
"Kandukur","15.2167","79.9042","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","144.7792195"
"Atchampeta","15.5412","78.9503","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","116.2382102"
"Punganuru","13.3667","78.5833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","128.7632008"
"Puttur","13.45","79.55","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","144.6558442"
"Palmaner","13.2","78.75","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","145.6861122"
"Venkatagiri","13.9667","79.5833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","106.2112396"
"Guntakal Junction","15.1711","77.3624","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","168.4777113"
"Gooty","15.121","77.634","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","140.0054181"
"Nandikotkur","15.867","78.267","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","160.3556241"
"Jammalamadugu","14.85","78.38","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","56.69498637"
"Nayudupet","13.9","79.9","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","139.1579364"
"Rapur","14.2015","79.5351","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","88.99601909"
"Ananipalle","13.4902","79.2895","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","126.3595651"
"Janakammapeta","15.0125","79.8439","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","128.0100737"
"Addanki","15.8167","79.9833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","194.9081911"
"Alluru","15.1336","78.4975","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","75.39115703"
"Pileru","13.6549","78.9471","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","96.92370013"
"Vavveru","14.5594","79.8725","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.4969758"
"Atmakur","15.8779","78.5884","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","153.3849025"
"Betamcherla","15.4667","78.1667","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","124.7183164"
"Penumur","13.3667","79.1833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","134.6274872"
"Buchireddipalem","14.538","79.875","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.6852699"
"Kanigiri","15.4","79.5167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","127.2027677"
"Vempalle","14.3667","78.4667","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","36.60922033"
"Uravakonda","14.95","77.27","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","168.852502"
"Giddalur","15.3764","78.9251","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","97.71922027"
"Allagadda","15.1322","78.5138","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","74.5764064"
"Madakalavaripalli","14.7475","79.0843","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","42.67059369"
"Darsi","15.7667","79.6833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","170.5224854"
"Erraguntla","14.6333","78.5333","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","29.19229198"
"Kalyandrug","14.55","77.1","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","180.1100731"
"Kovur","14.5001","79.9859","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","130.5976448"
"Podili","15.604","79.608","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","151.1321172"
"Chimakurti","15.5149","80.0368","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","175.8257864"
"Kaluvaya","14.5","79.4167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","69.32731813"
"Atmakur","14.6167","79.6167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","91.59616539"
"Pattikonda","15.4","77.5167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","167.3373735"
"Nalakadoddi","15.4","77.5167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","167.3373735"
"Tanguturu","15.35","80.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","165.9962714"
"Suluru","13.7","80.018","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","161.6941236"
"Penukonda","14.085","77.596","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","135.3187851"
"Pamidi","14.95","77.5833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","136.9540723"
"Mamidalapadu","15.831","78.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","166.1108175"
"Buddayyakota","13.8196","78.1729","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","100.3809731"
"Kottakota","13.6592","78.2467","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.314385"
"Guduru","15.775","77.807","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","174.7305602"
"Renigunta","13.65","79.52","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","125.0575296"
"Maduru","14.7616","78.6171","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","32.6071296"
"Gorantla","13.9892","77.7703","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","122.5820341"
"Vinnamala","13.9074","79.9086","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","139.5694786"
"Singarayakonda","15.25","80.0203","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","157.302467"
"Ukkayapalle","14.4898","78.8927","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","13.10370914"
"Yadiki","15.05","77.88","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","113.2211123"
"Koilkuntla","15.2333","78.3167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","94.18589567"
"Tirumala","13.6833","79.35","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","111.019354"
"Velugodu","15.7817","78.6892","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","141.6908439"
"Bukkarayasamudram","14.6944","77.6381","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","123.8048455"
"Pakala","13.4667","79.1167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","121.799866"
"Madakasira","13.9369","77.2694","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","174.1228774"
"Chagalamarri","14.9667","78.5833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","54.71803355"
"Banganapalle","15.3167","78.2333","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","106.8004889"
"Vinjamur","14.833","79.583","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","94.26495215"
"Kamalapuram","14.5833","78.65","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","15.52625516"
"Chandragiri","13.5833","79.3167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.5770909"
"Gopavaram","14.7853","78.5728","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","37.41584553"
"Erragondapalem","16.0397","79.3043","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","179.395304"
"Kanekallu","14.8864","77.0317","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","191.8832149"
"Yandrapalle","16.0472","79.3073","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","180.2879679"
"Peruru","14.3503","77.3497","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","154.2722988"
"Narapala","14.7206","77.8106","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","106.1428712"
"Somandepalle","14.0078","77.6086","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","137.328505"
"Sirvel","15.321","78.5344","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","93.74597471"
"Tummalapenta","14.8997","80.0687","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","145.9600616"
"Veldurti","15.5667","77.9167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","149.1888162"
"Vayalpad","13.65","78.6333","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","96.80365333"
"Gunjapalle","14.3845","77.9495","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","89.74129806"
"Padugupadu","14.4885","79.9923","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","131.3071691"
"Gudipallipadu","14.4588","80.0482","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","137.4303777"
"Pernamitta","15.5333","80","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","174.1182811"
"Tsundupalle","13.9809","78.9152","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","60.80256827"
"Gonegandla","15.7167","77.6","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","183.9923826"
"Podalakur","14.3667","79.7333","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","104.6517511"
"Kakkalapalle","14.6415","77.5668","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","130.6039156"
"Galivedu","14.0333","78.5","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","60.61188016"
"Kota","14.0333","80.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","147.4908725"
"Porumamilla","15.0167","78.9833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","60.7194874"
"Chennur","14.5667","78.8","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","6.952243218"
"Vontimitta","14.3833","79.0333","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","31.39150886"
"Udayagiri","14.8667","79.3167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","70.68198323"
"Chilamatturu","13.8394","77.7039","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","137.256212"
"Kambaduru","14.3575","77.2186","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","168.2187122"
"Bugganipalle","15.4741","78.175","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","124.9599195"
"Maddikera","15.25","77.417","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","167.3286408"
"Bhanumukkala","15.3119","78.2277","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","106.6821133"
"Mulakaledu","14.3648","76.9267","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","199.4462602"
"Pyapali","15.2669","77.7611","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","137.4869063"
"Cumbum","15.5667","79.1167","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","123.1670961"
"Gurramkonda","13.7833","78.5833","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","83.34802802"
"Putaparti","14.166","77.811","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.4487639"
"Peddapalle","14.4046","78.9456","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","21.99140133"
"Damalcheruvu","13.4833","79.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.0168405"
"Paniem","15.5167","78.35","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","120.7982407"
"Kottacheruvu","14.1886","77.7658","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","114.2129804"
"Nagireddipalli","14.2701","79.1013","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","44.31245588"
"Pakala","15.2694","80.072","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","163.1641157"
"Alur","15.3942","77.2264","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","193.0393228"
"Muttukuru","14.2667","80.1","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","145.4882288"
"Anantarazupeta","14.0014","79.3319","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","82.6388579"
"Uttukkottai","13.3354","79.898","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","178.3440524"
"Polukallu","15.8284","77.7431","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","183.5817222"
"Iskapalli","14.7363","80.0981","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","144.7981081"
"Kodigenahalli","13.8608","77.4792","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","157.0288722"
"Palkur","15.4144","78.2507","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","115.1461774"
"Bodagudipadu","14.7385","79.8602","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","119.7251106"
"Tummalapenta","15.0278","78.0234","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","99.03148683"
"Vempalle","13.5382","78.4604","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","113.1920405"
"Gudikallu","15.7441","77.476","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","195.4641946"
"Mangalapur","13.6245","79.5803","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","131.4575798"
"Rajupalem","15.1385","79.996","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","148.9061872"
"Kalikiri","13.6333","78.8","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","97.52879078"
"Atmakuru","14.6452","77.3554","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","153.2705505"
